Alpha,T1-10.0 m/s-Panel-Inviscid, , 
           -8,    -0.3472037, , 
         -7.5,     -0.318077, , 
           -7,    -0.2888834, , 
         -6.5,    -0.2596286, , 
           -6,    -0.2303181, , 
         -5.5,    -0.2009577, , 
           -5,     -0.171553, , 
         -4.5,    -0.1421098, , 
           -4,    -0.1126339, , 
         -3.5,   -0.08313084, , 
           -3,   -0.05360658, , 
         -2.5,   -0.02406685, , 
           -2,   0.005482548, , 
         -1.5,    0.03503582, , 
           -1,    0.06458716, , 
         -0.5,    0.09413076, , 
            0,     0.1236608, , 
          0.5,     0.1531715, , 
            1,     0.1826571, , 
          1.5,     0.2121118, , 
            2,     0.2415299, , 
          2.5,     0.2709055, , 
            3,      0.300233, , 
          3.5,     0.3295066, , 
            4,     0.3587207, , 
          4.5,     0.3878696, , 
            5,     0.4169478, , 
          5.5,     0.4459495, , 
            6,     0.4748694, , 
          6.5,     0.5037017, , 
            7,     0.5324412, , 
          7.5,     0.5610824, , 
            8,     0.5896198, , 
          8.5,     0.6180482, , 
            9,     0.6463623, , 
          9.5,     0.6745568, , 
           10,     0.7026266, , 
         10.5,     0.7305667, , 
           11,     0.7583719, , 
         11.5,     0.7860372, , 
           12,     0.8135579, , 
         12.5,     0.8409289, , 
           13,     0.8681456, , 
         13.5,     0.8952033, , 
           14,     0.9220974, , 
         14.5,     0.9488232, , 
           15,     0.9753764, , 

